feature,group,unit,description,n_missing
lat,geographic,degrees,Grid-cell centre coordinate,5
lon,geographic,degrees,Grid-cell centre coordinate,5
planting_doy,crop_calendar,day / count,GGCMI Phase 3 wheat calendar,5
maturity_doy,crop_calendar,day / count,GGCMI Phase 3 wheat calendar,5
season_length_days,crop_calendar,day / count,GGCMI Phase 3 wheat calendar,5
n_growing_months,crop_calendar,day / count,GGCMI Phase 3 wheat calendar,5
pr_m01,climate,mm/month,"GSWP3-W5E5 pr, month 1, monthly op = sum",1870
pr_m02,climate,mm/month,"GSWP3-W5E5 pr, month 2, monthly op = sum",1722
pr_m03,climate,mm/month,"GSWP3-W5E5 pr, month 3, monthly op = sum",1878
pr_m04,climate,mm/month,"GSWP3-W5E5 pr, month 4, monthly op = sum",1858
pr_m05,climate,mm/month,"GSWP3-W5E5 pr, month 5, monthly op = sum",510
pr_m06,climate,mm/month,"GSWP3-W5E5 pr, month 6, monthly op = sum",630
pr_m07,climate,mm/month,"GSWP3-W5E5 pr, month 7, monthly op = sum",645
pr_m08,climate,mm/month,"GSWP3-W5E5 pr, month 8, monthly op = sum",790
pr_m09,climate,mm/month,"GSWP3-W5E5 pr, month 9, monthly op = sum",2079
pr_m10,climate,mm/month,"GSWP3-W5E5 pr, month 10, monthly op = sum",2176
pr_m11,climate,mm/month,"GSWP3-W5E5 pr, month 11, monthly op = sum",1924
pr_m12,climate,mm/month,"GSWP3-W5E5 pr, month 12, monthly op = sum",1863
sfcWind_m01,climate,m/s,"GSWP3-W5E5 sfcWind, month 1, monthly op = mean",1870
sfcWind_m02,climate,m/s,"GSWP3-W5E5 sfcWind, month 2, monthly op = mean",1722
sfcWind_m03,climate,m/s,"GSWP3-W5E5 sfcWind, month 3, monthly op = mean",1878
sfcWind_m04,climate,m/s,"GSWP3-W5E5 sfcWind, month 4, monthly op = mean",1858
sfcWind_m05,climate,m/s,"GSWP3-W5E5 sfcWind, month 5, monthly op = mean",510
sfcWind_m06,climate,m/s,"GSWP3-W5E5 sfcWind, month 6, monthly op = mean",630
sfcWind_m07,climate,m/s,"GSWP3-W5E5 sfcWind, month 7, monthly op = mean",645
sfcWind_m08,climate,m/s,"GSWP3-W5E5 sfcWind, month 8, monthly op = mean",790
sfcWind_m09,climate,m/s,"GSWP3-W5E5 sfcWind, month 9, monthly op = mean",2079
sfcWind_m10,climate,m/s,"GSWP3-W5E5 sfcWind, month 10, monthly op = mean",2176
sfcWind_m11,climate,m/s,"GSWP3-W5E5 sfcWind, month 11, monthly op = mean",1924
sfcWind_m12,climate,m/s,"GSWP3-W5E5 sfcWind, month 12, monthly op = mean",1863
tasmin_m01,climate,degC,"GSWP3-W5E5 tasmin, month 1, monthly op = mean",1870
tasmin_m02,climate,degC,"GSWP3-W5E5 tasmin, month 2, monthly op = mean",1722
tasmin_m03,climate,degC,"GSWP3-W5E5 tasmin, month 3, monthly op = mean",1878
tasmin_m04,climate,degC,"GSWP3-W5E5 tasmin, month 4, monthly op = mean",1858
tasmin_m05,climate,degC,"GSWP3-W5E5 tasmin, month 5, monthly op = mean",510
tasmin_m06,climate,degC,"GSWP3-W5E5 tasmin, month 6, monthly op = mean",630
tasmin_m07,climate,degC,"GSWP3-W5E5 tasmin, month 7, monthly op = mean",645
tasmin_m08,climate,degC,"GSWP3-W5E5 tasmin, month 8, monthly op = mean",790
tasmin_m09,climate,degC,"GSWP3-W5E5 tasmin, month 9, monthly op = mean",2079
tasmin_m10,climate,degC,"GSWP3-W5E5 tasmin, month 10, monthly op = mean",2176
tasmin_m11,climate,degC,"GSWP3-W5E5 tasmin, month 11, monthly op = mean",1924
tasmin_m12,climate,degC,"GSWP3-W5E5 tasmin, month 12, monthly op = mean",1863
tasmax_m01,climate,degC,"GSWP3-W5E5 tasmax, month 1, monthly op = mean",1870
tasmax_m02,climate,degC,"GSWP3-W5E5 tasmax, month 2, monthly op = mean",1722
